Prefix,Prefix Length,Destination,Traffic Type,Operator,Exact Match Flag
4561,6,,International,Denmark_Tele Danmark Mobil,N
46,4,,International,Sweden_Fixed,N
4610,6,,International,Sweden_Telia,N
46252,7,,International,Sweden_COMVIQ(Tele 2),N
4634,6,,International,Sweden_Telenor,N
4635,6,,International,Sweden_COMVIQ(Tele 2),N
46385,7,,International,Sweden_Telenor,N
4651,6,,International,Sweden_Telia,N
4666,6,,International,Sweden_Telenor,N
46673,7,,International,Sweden_Telia,N
46674,7,,International,Sweden_Telenor,N
46676,7,,International,Sweden_Spring Mobil,N
4668,6,,International,Sweden_Telenor,N
46701,7,,International,Sweden_Telia,N
467011,8,,International,Sweden_Europolitan,N
467012,8,,International,Sweden_Telia,N
467014,8,,International,Sweden_Europolitan,N
467015,8,,International,Sweden_COMVIQ(Tele 2),N
467016,8,,International,Sweden_COMVIQ(Tele 2),N
467017,8,,International,Sweden_Telia,N
467018,8,,International,Sweden_Telia,N
46702,7,,International,Sweden_Telia,N
46703,7,,International,Sweden_Telia,N
46704,7,,International,Sweden_COMVIQ(Tele 2),N
46705,7,,International,Sweden_Telia,N
46706,7,,International,Sweden_Telia,N
46707,7,,International,Sweden_COMVIQ(Tele 2),N
46708,7,,International,Sweden_Europolitan,N
46709,7,,International,Sweden_Europolitan,N
4673,6,,International,Sweden_Telia,N
46730,7,,International,Sweden_Telia,N
46731,7,,International,Sweden_Europolitan,N
467320,8,,International,Sweden_Telenor,N
467321,8,,International,Sweden_COMVIQ(Tele 2),N
467322,8,,International,Sweden_COMVIQ(Tele 2),N
467323,8,,International,Sweden_Telenor,N
467324,8,,International,Sweden_Telenor,N
467325,8,,International,Sweden_Telenor,N
467326,8,,International,Sweden_Telenor,N
46733,7,,International,Sweden_Europolitan,N
46734,7,,International,Sweden_Europolitan,N
467350,8,,International,Sweden_Hi3G Access,N
467351,8,,International,Sweden_Hi3G Access,N
467352,8,,International,Sweden_Hi3G Access,N
467353,8,,International,Sweden_Hi3G Access,N
467354,8,,International,Sweden_Hi3G Access,N
467355,8,,International,Sweden_COMVIQ(Tele 2),N
467356,8,,International,Sweden_COMVIQ(Tele 2),N
467357,8,,International,Sweden_COMVIQ(Tele 2),N
467358,8,,International,Sweden_COMVIQ(Tele 2),N
467359,8,,International,Sweden_COMVIQ(Tele 2),N
46736,7,,International,Sweden_COMVIQ(Tele 2),N
46737,7,,International,Sweden_COMVIQ(Tele 2),N
46738,7,,International,Sweden_Telia,N
46739,7,,International,Sweden_COMVIQ(Tele 2),N
46761,7,,International,Sweden_Telia,N
46762,7,,International,Sweden_COMVIQ(Tele 2),N
467650,8,,International,Sweden_Spring Mobil,N
467651,8,,International,Sweden_Spring Mobil,N
467652,8,,International,Sweden_Spring Mobil,N
467653,8,,International,Sweden_Spring Mobil,N
467654,8,,International,Sweden_Spring Mobil,N
467655,8,,International,Sweden_COMVIQ(Tele 2),N
467656,8,,International,Sweden_COMVIQ(Tele 2),N
467657,8,,International,Sweden_COMVIQ(Tele 2),N
467658,8,,International,Sweden_COMVIQ(Tele 2),N
467659,8,,International,Sweden_COMVIQ(Tele 2),N
4676695,9,,International,Sweden_COMVIQ(Tele 2),N
4676696,9,,International,Sweden_COMVIQ(Tele 2),N
4676697,9,,International,Sweden_COMVIQ(Tele 2),N
4676698,9,,International,Sweden_COMVIQ(Tele 2),N
4676699,9,,International,Sweden_COMVIQ(Tele 2),N
467672673,11,,International,Sweden_COMVIQ(Tele 2),N
46767624,10,,International,Sweden_Telia,N
46767625,10,,International,Sweden_Telia,N
46767626,10,,International,Sweden_Telia,N
467680,8,,International,Sweden_Telia,N
467681,8,,International,Sweden_Telia,N
467682,8,,International,Sweden_Telia,N
467683,8,,International,Sweden_Telia,N
467684,8,,International,Sweden_Telia,N
46789,7,,International,Sweden_Telia,N
47,4,,International,Norway_Fixed,N
474,5,,International,Norway_Netcom,N
4741,6,,International,Norway_Telenor,N
4745,6,,International,Norway_Telenor,N
4746,6,,International,Norway_Telenor,N
4747,6,,International,Norway_Telenor,N
474723,8,,International,Norway_Tele2 NO,N
4748,6,,International,Norway_Telenor,N
4759,6,,International,Norway_Telenor,N
4781,6,,International,Norway_Telenor,N
479,5,,International,Norway_Telenor,N
4792,6,,International,Norway_NetCom,N
4793,6,,International,Norway_Netcom,N
4798,6,,International,Norway_Netcom,N
479901,8,,International,Norway_NetSystem International,N
479902,8,,International,Norway_NetSystem International,N
479903,8,,International,Norway_NetSystem International,N
479904,8,,International,Norway_NetSystem International,N
48,4,,International,Poland_Fixed,N
4850,6,,International,Poland_IDEA (Centertel),N
486,5,,International,Poland_Era GSM(PTC),N
48601,7,,International,Poland_Plus GSM(Polkomtel),N
48602,7,,International,Poland_Era GSM(PTC),N
48603,7,,International,Poland_Plus GSM(Polkomtel),N
48605,7,,International,Poland_Plus GSM(Polkomtel),N
48606,7,,International,Poland_Era GSM(PTC),N
48607,7,,International,Poland_Plus GSM(Polkomtel),N
48608,7,,International,Poland_Era GSM(PTC),N
48609,7,,International,Poland_Plus GSM(Polkomtel),N
48691,7,,International,Poland_Plus GSM(Polkomtel),N
48692,7,,International,Poland_Era GSM(PTC),N
48693,7,,International,Poland_Plus GSM(Polkomtel),N
48696,7,,International,Poland_Plus GSM(Polkomtel),N
48697,7,,International,Poland_Plus GSM(Polkomtel),N
48698,7,,International,Poland_Era GSM(PTC),N
488,5,,International,Poland_Era GSM(PTC),N
49,4,,International,GERMANY_Fix_PROPER,N
49150,7,,International,GERMANY_E1,N
49151,7,,International,GERMANY_D1 (TMOBIL),N
49152,7,,International,GERMANY_VODAFONE,N
49155,7,,International,GERMANY_E1,N
49156,7,,International,GERMANY_E1,N
49157,7,,International,GERMANY_E1,N
49159,7,,International,GERMANY_O2,N
49160,7,,International,GERMANY_D1 (TMOBIL),N
49162,7,,International,GERMANY_VODAFONE,N
49163,7,,International,GERMANY_E1,N
49170,7,,International,GERMANY_D1 (TMOBIL),N
49171,7,,International,GERMANY_D1 (TMOBIL),N
49172,7,,International,GERMANY_VODAFONE,N
49173,7,,International,GERMANY_VODAFONE,N
49174,7,,International,GERMANY_VODAFONE,N
49175,7,,International,GERMANY_D1 (TMOBIL),N
49176,7,,International,GERMANY_O2,N
49177,7,,International,GERMANY_E1,N
49178,7,,International,GERMANY_E1,N
49179,7,,International,GERMANY_O2,N
49201,7,,International,GERMANY_Fix_ESSEN,N
49211,7,,International,GERMANY_Fix_DUSSELDORF,N
49221,7,,International,GERMANY_Fix_COLOGNE,N
4930,6,,International,GERMANY_Fix_BERLIN,N
4940,6,,International,GERMANY_Fix_HAMBURG,N
49511,7,,International,GERMANY_Fix_HANNOVER,N
49611,7,,International,GERMANY_Fix_WIESBADEN,N
49621,7,,International,GERMANY_Fix_MANNHEIM,N
4969,6,,International,GERMANY_Fix_FRANKFURT,N
49700,7,,International,GERMANY_PERSONAL NUMBERS,N
49701,7,,International,GERMANY_PERSONAL NUMBERS,N
49711,7,,International,GERMANY_Fix_STUTTGART,N
4989,6,,International,GERMANY_Fix_MUNICH,N
500,5,,International,Falkland Islands_Fixed,N
501,5,,International,Belize_Fixed,N
50161,7,,International,Belize_Belize Telecommunication,N
502,5,,International,Guatemala_Fixed,N
503,5,,International,El Salvador_Fixed,N
504,5,,International,Honduras_Fixed,N
505,5,,International,Nicaragua_Fixed,N
506,5,,International,Costa Rica_Fixed,N
507,5,,International,Panama_Fixed,N
5076,6,,International,Panama_Cable&Wireless Panama,N
508,5,,International,Saint Pierre and Miquelon_Fixed,N
509,5,,International,Haiti_Fixed,N
51,4,,International,Peru_Fixed,N
52,4,,International,Mexico_Fixed,N
53,4,,International,Cuba & Guantanamo Bay_Fixed,N
5352,6,,International,Cuba_C_COM,N
53726,7,,International,Cuba_C_COM,N
54,4,,International,Argentina_Fixed,N
55,4,,International,Brazil_Fixed,N
56,4,,International,Chile & Easter Island_Fixed,N
57,4,,International,Colombia_Fixed,N
573103,8,,International,Colombia_Comcel SA,N
58,4,,International,Venezuela_Fixed,N
5838,6,,International,Colombia_Telecel Colombia,N
58418,7,,International,Venezuela_Infonet,N
590,5,,International,Guadeloupe_Fixed,N
591,5,,Unknown-T,Bolivia_Fixed,N
59172,7,,Unknown-T,Bolivia_Entel,N
592,5,,International,Guyana_Fixed,N
593,5,,International,Ecuador_Fixed,N
594,5,,International,French Guiana_Fixed,N
595,5,,International,Paraguay_Fixed,N
5959616,9,,International,Paraguay_HOLA,N
59599,7,,International,Paraguay_Hutchison Paraguay,N
596,5,,International,Martinique_Fixed,N
597,5,,International,Suriname_Fixed?,N
598,5,,International,Uruguay_Fixed,N
599,5,,International,Netherlands Antilles_Fixed,N
60,4,,International,Malaysia_Fixed,N
61,4,,International,Australia & Cocos-KeelingIslands_Fixed,N
618,5,,International,Christmas Island_Fixed,N
62,4,,International,Indonesia_Fixed,N
62811,7,,International,Indonesia_Telkomsel,N
62812,7,,International,Indonesia_Telkomsel,N
62813,7,,International,Indonesia_Telkomsel,N
62819,7,,International,Indonesia_Exelcomindo,N
62831,7,,International,Indonesia_Lippo Telecom,N
6285,6,,International,Indonesia_PT Indosat(IM3),N
63,4,,International,Philippines_Fixed,N
64,4,,International,New Zealand_Fixed,N
65,4,,International,Singapore_Fixed,N
66,4,,International,Thailand_Fixed,N
67,4,,International,Antarctica_Fixed,N
670,5,,International,East Timor_Fixed,N
67072,7,,International,Timor_Timor Telecom,N
672,5,,International,Norfolk Islands_Fixed,N
673,5,,International,Brunei_Fixed,N
6732,6,,International,Brunei_DST Com,N
6738,6,,International,Brunei_DST Com,N
674,5,,International,Nauru_Fixed,N
675,5,,International,Papua New Guinea_Fixed,N
676,5,,International,Tonga_Fixed,N
677,5,,International,Solomon Islands_Fixed,N
678,5,,International,Vanuatu_Fixed,N
679,5,,International,Fiji_Fixed,N
6799,6,,International,Fiji_Vodafone Fiji Ltd,N
680,5,,International,Palau_Fixed,N
681,5,,International,Wallis and Futuna Islands_Fixed,N
682,5,,International,Cook Islands_Fixed,N
683,5,,International,Niue_Fixed,N
684,5,,International,Samoa American_Fixed,N
685,5,,International,Samoa_Fixed,N
686,5,,International,Kiribati_Fixed,N
687,5,,International,New Caledonia_Fixed,N
688,5,,International,Tuvalu_Fixed,N
689,5,,International,French Polynesia_Fixed,N
6897,6,,International,French Polynesia_Tikiphone,N
690,5,,International,Tokelau_Fixed,N
691,5,,International,Micronesia_Fixed,N
692,5,,International,Marshall Islands_Fixed,N
7,3,,International,Russia & Kazakhstan_Fixed,N
732,5,,International,Kazakhstan_KCell,N
733,5,,International,Kazakhstan_KCell,N
7333,6,,International,Kazakhstan_K MOBILE,N
734,5,,International,Kazakhstan_KCell,N
735,5,,International,Kazakhstan_KCell,N
736,5,,International,Kazakhstan_KCell,N
737,5,,International,Kazakhstan_KCell,N
739,5,,International,Kazakhstan_KCell,N
808,5,,International,Wake Island_Fixed,N
81,4,,International,Japan_Fixed,N
82,4,,International,South Korea_Fixed,N
821,5,,International,Korea_SK Telecom,N
82103,7,,International,Korea_KT Freetel,N
821039,8,,International,Korea_LG Telecom,N
8216,6,,International,Korea_KT Freetel,N
82180,7,,International,Korea_LG Telecom,N
82181,7,,International,Korea_KT Freetel GSM,N
82182,7,,International,Korea_KT Freetel GSM,N
82183,7,,International,Korea_KT Freetel GSM,N
82184,7,,International,Korea_KT Freetel GSM,N
82185,7,,International,Korea_KT Freetel GSM,N
82186,7,,International,Korea_KT Freetel GSM,N
82187,7,,International,Korea_KT Freetel GSM,N
82188,7,,International,Korea_KT Freetel GSM,N
82189,7,,International,Korea_KT Freetel GSM,N
84,4,,International,Vietnam_Fixed,N
849041,8,,International,Vietnam_Mobifone Vietnam(P+T),N
8491,6,,International,Vietnam_Vinaphone Vietnam,N
850,5,,International,North Korea_Fixed,N
852,5,,International,Hong Kong_Fixed,N
853,5,,International,Macau_Fixed,N
855,5,,International,Cambodia_Fixed,N
85511,7,,International,Cambodia_Cambodia Shinawatra,N
85512,7,,International,Cambodia_CamGSM,N
856,5,,International,Laos_Fixed,N
86,4,,International,China_Fixed,N
8613,6,,International,China_China Mobile,N
86133,7,,International,China_China Unicom,N
86135,7,,International,China_China Mobile,N
86136,7,,International,China_China Mobile,N
86137,7,,International,China_China Mobile,N
86138,7,,International,China_China Mobile,N
86139,7,,International,China_China Mobile,N
8615,6,,International,China_Unicom,N
870,5,,International,Inmarsat,N
871,5,,International,Inmarsat Atl East,N
872,5,,International,Inmarsat,N
873,5,,International,Inmarsat Indian,N
874,5,,International,Inmarsat Atl West,N
880,5,,International,Bangladesh_Fixed,N
88018,7,,International,Bangladesh_AKTEL,N
8816,6,,International,Inmarsat,N
886,5,,International,Taiwan_Fixed,N
90,4,,International,Turkey_Fixed,N
9050,6,,International,Turkey_AVEA,N
90532,7,,International,Turkey_Turkcell,N
90533,7,,International,Turkey_Turkcell,N
90534,7,,International,Turkey_Turkcell,N
90535,7,,International,Turkey_Turkcell,N
90536,7,,International,Turkey_Turkcell,N
90537,7,,International,Turkey_Turkcell,N
90538,7,,International,Turkey_Turkcell,N
90539,7,,International,Turkey_Turkcell,N
9054,6,,International,Turkey_Vodafone,N
90542,7,,International,Turkey_Vodafone,N
90543,7,,International,Turkey_Vodafone,N
90544,7,,International,Turkey_Vodafone,N
90545,7,,International,Turkey_Vodafone,N
90546,7,,International,Turkey_Vodafone,N
9055,6,,International,Turkey_AVEA,N
9059,6,,International,Turkey_AVEA,N
91,4,,International,India_Fixed,N
92,4,,International,Pakistan_Fixed,N
92303,7,,International,Pakistan_Instaphone(Pakcom Ltd),N
92304,7,,International,Pakistan_Pakistan,N
923042,8,,International,Pakistan_Paktel GSM,N
9232,6,,International,Pakistan_Instaphone(Pakcom Ltd),N
92333,7,,International,Pakistan_Ufone,N
9241,6,,International,Pakistan_Instaphone(Pakcom Ltd),N
93,4,,International,Afghanistan_Fixed,N
94,4,,International,Sri Lanka_Fixed,N
9472,6,,International,Sri Lanka_Celltel,N
9477,6,,International,Sri Lanka_MTN Networks(PVT) Ltd,N
95,4,,International,Myanmar (Burma)_Fixed,N
960,5,,International,Maldives_Fixed,N
96070,7,,International,Maldives_Dhiraagu,N
96090,7,,International,Maldives_Dhiraagu,N
961,5,,International,Lebanon_Fixed,N
961308,8,,International,Lebanon_LibanCell,N
96132,7,,International,Lebanon_Cellis(FTML),N
96133,7,,International,Lebanon_Cellis(FTML),N
96134,7,,International,Lebanon_Cellis(FTML),N
96135,7,,International,Lebanon_Cellis(FTML),N
96170,7,,International,Lebanon_LibanCell,N
96171,7,,International,Lebanon_Cellis(FTML),N
962,5,,International,JORDAN_Fix_PROPER,N
9626,6,,International,JORDAN_Fix_AMMAN,N
96274,7,,International,JORDAN_XPRESS,N
962746,8,,International,JORDAN_MIRSAL,N
962747,8,,International,JORDAN_MIRSAL,N
9627555,9,,International,JORDAN_MVNO FRiENDi,N
9627556,9,,International,JORDAN_MVNO FRiENDi,N
9627557,9,,International,JORDAN_MVNO FRiENDi,N
9627558,9,,International,JORDAN_MVNO FRiENDi,N
96277,7,,International,JORDAN_MOBILCOM,N
96278,7,,International,JORDAN_UMNIAH,N
96279,7,,International,JORDAN_FASTLINK,N
963000000000,14,,International,Jordan Madrasti Donation,N
963000000000,14,,International,Jordan Madrasti Donation,N
963,5,,International,Syria_Fixed,N
96305,7,,International,Syria_NA,N
96390,7,,International,Syria_NA,N
96391,7,,International,Syria_NA,N
96392,7,,International,Syria_NA,N
96393,7,,International,Syria_SyriaTel,N
96394,7,,International,Syria_MTN,N
96395,7,,International,Syria_MTN,N
96396,7,,International,Syria_MTN,N
96397,7,,International,Syria_NA,N
96398,7,,International,Syria_SYRIATEL,N
96399,7,,International,Syria_SYRIATEL,N
964,5,,International,Iraq_Fixed,N
964770,8,,International,Iraq_Asiacell,N
964780,8,,International,Iraq_Atheer,N
964790,8,,International,Iraq_Orascom,N
965,5,,International,KUWAIT_Fixed,N
965500,8,,International,KUWAIT_VIVA,N
965550,8,,International,KUWAIT_VIVA,N
965551,8,,International,KUWAIT_VIVA,N
965552,8,,International,KUWAIT_VIVA,N
965553,8,,International,KUWAIT_VIVA,N
965554,8,,International,KUWAIT_VIVA,N
965555,8,,International,KUWAIT_VIVA,N
965556,8,,International,KUWAIT_VIVA,N
965557,8,,International,KUWAIT_VIVA,N
965558,8,,International,KUWAIT_VIVA,N
965559,8,,International,KUWAIT_VIVA,N
9656,6,,International,Kuwait_Wataniya,N
9656501,9,,International,KUWAIT_WATANIYA,N
9656502,9,,International,KUWAIT_WATANIYA,N
9656505,9,,International,KUWAIT_WATANIYA,N
9656506,9,,International,KUWAIT_WATANIYA,N
9656507,9,,International,KUWAIT_WATANIYA,N
9656508,9,,International,KUWAIT_WATANIYA,N
9656509,9,,International,KUWAIT_WATANIYA,N
9656510,9,,International,KUWAIT_WATANIYA,N
9656511,9,,International,KUWAIT_WATANIYA,N
9656512,9,,International,KUWAIT_WATANIYA,N
9656513,9,,International,KUWAIT_WATANIYA,N
9656514,9,,International,KUWAIT_WATANIYA,N
9656515,9,,International,KUWAIT_WATANIYA,N
9656516,9,,International,KUWAIT_WATANIYA,N
9656517,9,,International,KUWAIT_WATANIYA,N
9656518,9,,International,KUWAIT_WATANIYA,N
9656519,9,,International,KUWAIT_WATANIYA,N
9656550,9,,International,KUWAIT_WATANIYA,N
9656554,9,,International,KUWAIT_WATANIYA,N
9656555,9,,International,KUWAIT_WATANIYA,N
9656556,9,,International,KUWAIT_WATANIYA,N
9656557,9,,International,KUWAIT_WATANIYA,N
9656558,9,,International,KUWAIT_WATANIYA,N
9656559,9,,International,KUWAIT_WATANIYA,N
9656570,9,,International,KUWAIT_WATANIYA,N
9656578,9,,International,KUWAIT_WATANIYA,N
9656579,9,,International,KUWAIT_WATANIYA,N
9656580,9,,International,KUWAIT_WATANIYA,N
9656581,9,,International,KUWAIT_WATANIYA,N
9656582,9,,International,KUWAIT_WATANIYA,N
9656583,9,,International,KUWAIT_WATANIYA,N
9656584,9,,International,KUWAIT_WATANIYA,N
9656585,9,,International,KUWAIT_WATANIYA,N
9656586,9,,International,KUWAIT_WATANIYA,N
9656587,9,,International,KUWAIT_WATANIYA,N
9656588,9,,International,KUWAIT_WATANIYA,N
9656589,9,,International,KUWAIT_WATANIYA,N
9656590,9,,International,KUWAIT_WATANIYA,N
9656591,9,,International,KUWAIT_WATANIYA,N
9656592,9,,International,KUWAIT_WATANIYA,N
9656593,9,,International,KUWAIT_WATANIYA,N
9656594,9,,International,KUWAIT_WATANIYA,N
9656595,9,,International,KUWAIT_WATANIYA,N
9656596,9,,International,KUWAIT_WATANIYA,N
9656597,9,,International,KUWAIT_WATANIYA,N
9656598,9,,International,KUWAIT_WATANIYA,N
9656599,9,,International,KUWAIT_WATANIYA,N
96566,7,,International,KUWAIT_WATANIYA,N
9656700,9,,International,KUWAIT_WATANIYA,N
9656701,9,,International,KUWAIT_WATANIYA,N
9656703,9,,International,KUWAIT_WATANIYA,N
9656704,9,,International,KUWAIT_WATANIYA,N
9656705,9,,International,KUWAIT_WATANIYA,N
9656706,9,,International,KUWAIT_WATANIYA,N
9656707,9,,International,KUWAIT_WATANIYA,N
9656708,9,,International,KUWAIT_WATANIYA,N
9656709,9,,International,KUWAIT_WATANIYA,N
9656770,9,,International,KUWAIT_WATANIYA,N
9656771,9,,International,KUWAIT_WATANIYA,N
9656772,9,,International,KUWAIT_WATANIYA,N
9656773,9,,International,KUWAIT_WATANIYA,N
9656774,9,,International,KUWAIT_WATANIYA,N
9656775,9,,International,KUWAIT_WATANIYA,N
9656776,9,,International,KUWAIT_WATANIYA,N
9656778,9,,International,KUWAIT_WATANIYA,N
9656779,9,,International,KUWAIT_WATANIYA,N
96573,7,,International,Kuwait_Zain,N
9659,6,,International,Kuwait_Wataniya,N
9659400,9,,International,KUWAIT_ZAIN,N
9659401,9,,International,KUWAIT_ZAIN,N
9659402,9,,International,KUWAIT_ZAIN,N
9659403,9,,International,KUWAIT_ZAIN,N
9659404,9,,International,KUWAIT_ZAIN,N
9659405,9,,International,KUWAIT_ZAIN,N
9659406,9,,International,KUWAIT_ZAIN,N
9659407,9,,International,KUWAIT_ZAIN,N
9659408,9,,International,KUWAIT_ZAIN,N
9659409,9,,International,KUWAIT_ZAIN,N
9659440,9,,International,KUWAIT_ZAIN,N
9659441,9,,International,KUWAIT_ZAIN,N
9659442,9,,International,KUWAIT_ZAIN,N
9659443,9,,International,KUWAIT_ZAIN,N
9659444,9,,International,KUWAIT_ZAIN,N
9659445,9,,International,KUWAIT_ZAIN,N
9659446,9,,International,KUWAIT_ZAIN,N
9659447,9,,International,KUWAIT_ZAIN,N
9659448,9,,International,KUWAIT_ZAIN,N
9659449,9,,International,KUWAIT_ZAIN,N
9659702,9,,International,KUWAIT_ZAIN,N
9659710,9,,International,KUWAIT_ZAIN,N
9659711,9,,International,KUWAIT_ZAIN,N
9659712,9,,International,KUWAIT_ZAIN,N
9659713,9,,International,KUWAIT_ZAIN,N
9659714,9,,International,KUWAIT_ZAIN,N
9659715,9,,International,KUWAIT_ZAIN,N
9659716,9,,International,KUWAIT_ZAIN,N
9659717,9,,International,KUWAIT_ZAIN,N
9659718,9,,International,KUWAIT_ZAIN,N
9659719,9,,International,KUWAIT_ZAIN,N
9659720,9,,International,KUWAIT_ZAIN,N
9659721,9,,International,KUWAIT_ZAIN,N
9659722,9,,International,KUWAIT_ZAIN,N
9659723,9,,International,KUWAIT_ZAIN,N
9659724,9,,International,KUWAIT_ZAIN,N
9659725,9,,International,KUWAIT_ZAIN,N
9659726,9,,International,KUWAIT_ZAIN,N
9659727,9,,International,KUWAIT_ZAIN,N
9659728,9,,International,KUWAIT_ZAIN,N
9659729,9,,International,KUWAIT_ZAIN,N
9659730,9,,International,KUWAIT_ZAIN,N
9659731,9,,International,KUWAIT_ZAIN,N
9659732,9,,International,KUWAIT_ZAIN,N
9659733,9,,International,KUWAIT_ZAIN,N
9659734,9,,International,KUWAIT_ZAIN,N
9659735,9,,International,KUWAIT_ZAIN,N
9659736,9,,International,KUWAIT_ZAIN,N
9659737,9,,International,KUWAIT_ZAIN,N
9659738,9,,International,KUWAIT_ZAIN,N
9659739,9,,International,KUWAIT_ZAIN,N
9659740,9,,International,KUWAIT_ZAIN,N
9659741,9,,International,KUWAIT_ZAIN,N
9659742,9,,International,KUWAIT_ZAIN,N
9659743,9,,International,KUWAIT_ZAIN,N
9659744,9,,International,KUWAIT_ZAIN,N
9659745,9,,International,KUWAIT_ZAIN,N
9659746,9,,International,KUWAIT_ZAIN,N
9659747,9,,International,KUWAIT_ZAIN,N
9659748,9,,International,KUWAIT_ZAIN,N
9659749,9,,International,KUWAIT_ZAIN,N
9659750,9,,International,KUWAIT_ZAIN,N
9659751,9,,International,KUWAIT_ZAIN,N
9659752,9,,International,KUWAIT_ZAIN,N
9659753,9,,International,KUWAIT_ZAIN,N
9659754,9,,International,KUWAIT_ZAIN,N
9659755,9,,International,KUWAIT_ZAIN,N
9659756,9,,International,KUWAIT_ZAIN,N
9659757,9,,International,KUWAIT_ZAIN,N
9659758,9,,International,KUWAIT_ZAIN,N
9659759,9,,International,KUWAIT_ZAIN,N
9659760,9,,International,KUWAIT_ZAIN,N
9659761,9,,International,KUWAIT_ZAIN,N
9659762,9,,International,KUWAIT_ZAIN,N
9659763,9,,International,KUWAIT_ZAIN,N
9659764,9,,International,KUWAIT_ZAIN,N
9659765,9,,International,KUWAIT_ZAIN,N
9659766,9,,International,KUWAIT_ZAIN,N
9659767,9,,International,KUWAIT_ZAIN,N
9659768,9,,International,KUWAIT_ZAIN,N
9659769,9,,International,KUWAIT_ZAIN,N
9659780,9,,International,KUWAIT_ZAIN,N
9659781,9,,International,KUWAIT_ZAIN,N
9659782,9,,International,KUWAIT_ZAIN,N
9659783,9,,International,KUWAIT_ZAIN,N
9659784,9,,International,KUWAIT_ZAIN,N
9659785,9,,International,KUWAIT_ZAIN,N
9659786,9,,International,KUWAIT_ZAIN,N
9659787,9,,International,KUWAIT_ZAIN,N
9659788,9,,International,KUWAIT_ZAIN,N
9659789,9,,International,KUWAIT_ZAIN,N
9659790,9,,International,KUWAIT_ZAIN,N
9659791,9,,International,KUWAIT_ZAIN,N
9659792,9,,International,KUWAIT_ZAIN,N
9659793,9,,International,KUWAIT_ZAIN,N
9659794,9,,International,KUWAIT_ZAIN,N
9659795,9,,International,KUWAIT_ZAIN,N
9659796,9,,International,KUWAIT_ZAIN,N
9659797,9,,International,KUWAIT_ZAIN,N
9659798,9,,International,KUWAIT_ZAIN,N
9659799,9,,International,KUWAIT_ZAIN,N
96599,7,,International,KUWAIT_ZAIN,N
966,5,,International,Saudi Arabia_Fixed,N
96612,7,,International,Saudi Arabia-Fixed,N
96614,7,,International,Saudi Arabia_Fixed,N
96622,7,,International,Saudi Arabia_Fixed,N
96625,7,,International,Saudi Arabia_Fixed,N
96626,7,,International,Saudi Arabia_Fixed,N
966333,8,,International,Saudi Arabia_Fixed,N
966366,8,,International,Saudi Arabia_Fixed,N
966367,8,,International,Saudi Arabia_Fixed,N
96638,7,,International,Saudi Arabia_Fixed,N
96650,7,,International,Saudi Arabia_AL JAWWAL,N
96651,7,,International,Saudi Arabia_BRAVO (iDEN),N
96653,7,,International,Saudi Arabia_AL JAWWAL,N
96654,7,,International,Saudi Arabia_Mobily,N
96655,7,,International,Saudi Arabia_AL JAWWAL,N
96656,7,,International,Saudi Arabia_Mobily,N
96659,7,,International,Saudi Arabia_ZAIN,N
967,5,,International,Yemen_Fixed,N
96770,7,,International,Yemen_Mobile,N
96771,7,,International,Yemen_Sabafon,N
967711,8,,International,Yemen_Mobile Sabafon,N
96773,7,,International,Yemen_MTN,N
96777,7,,International,Yemen_Yemen Mobile,N
967779,8,,International,Yemen_Spacetel,N
968,5,,International,Oman_Fixed,N
968720,8,,International,Oman_OmanTel,N
9689,6,,International,Oman_OmanTel,N
96895,7,,International,Oman_Nawras,N
97058,7,,International,Golan,N
971,5,,International,United Arab Emirates_Fixed,N
97150,7,,International,United Arab Emirates_Etisalat,N
97155,7,,International,United Arab Emirates_Du,N
97189,7,,International,United Arab Emirates_Pager,N
97258,7,,International,Golan,N
973,5,,International,Bahrain_Fixed,N
97336,7,,International,Bahrain_MTC Vodafone,N
97339,7,,International,Bahrain_Batelco,N
974,5,,International,Qatar_Fixed,N
9742,6,,International,Qatar?_Q-Tel,N
9745,6,,International,Qatar_Q-Tel,N
9746,6,,International,Qatar?_Q-Tel,N
975,5,,International,Bhutan_Fixed,N
976,5,,International,Mongolia_Fixed,N
97691,7,,International,Mongolia_Skytel Mongolia,N
97696,7,,International,Mongolia_Skytel Mongolia,N
97699,7,,International,Mongolia_MobiCom,N
977,5,,International,Nepal_Fixed,N
977981,8,,International,Nepal_NTC,N
98,4,,International,Iran_Fixed,N
992,5,,International,Tajikistan_Fixed,N
992917,8,,International,Tajikistan_TT Mobile,N
993,5,,International,Turkmenistan_Fixed,N
993663,8,,International,Turkmenistan_BCTI,N
994,5,,International,Azerbaijan_Fixed,N
99450,7,,International,Azerbaijan_Azercell,N
99455,7,,International,Azerbaijan_J.V.Bakcell,N
995,5,,International,Georgia_Fixed,N
99555,7,,International,Georgia_Geocell,N
99577,7,,International,Georgia_Geocell,N
99593,7,,International,Georgia_Geocell,N
99599,7,,International,Georgia_Magticom,N
996,5,,International,Kyrgyz Republic_Fixed,N
9963121,9,,International,Kyrgyz Republic_Bitel Ltd,N
9965021,9,,International,Kyrgyz Republic_Bitel Ltd,N
998,5,,International,Uzbekistan_Fixed,N
99871,7,,International,Uzbekistan_Uzmacom,N
99892,7,,International,Uzbekistan_Uzmacom,N
99893,7,,International,Uzbekistan_Coscom,N
377607,6,,International,Monaco_MonaCell,N
